Tonnes Co2e,country_full,country,sector,subsector,start,end
0,Anguilla,AIA,transport,other transportation,2020-01-01,2021-01-01
0,Anguilla,AIA,transport,railways,2020-01-01,2021-01-01
26077,Anguilla,AIA,transport,roads,2020-01-01,2021-01-01
0,Anguilla,AIA,waste,biological treatment of solid waste and biogenic,2020-01-01,2021-01-01
0,Anguilla,AIA,waste,open burning waste,2020-01-01,2021-01-01
2237,Anguilla,AIA,waste,solid waste disposal,2020-01-01,2021-01-01
1974,Anguilla,AIA,waste,wastewater treatment and discharge,2020-01-01,2021-01-01
,Åland Islands,ALA,agriculture,cropland fires,2020-01-01,2021-01-01
,Åland Islands,ALA,agriculture,enteric fermentation,2020-01-01,2021-01-01
,Åland Islands,ALA,agriculture,managed soils,2020-01-01,2021-01-01
,Åland Islands,ALA,agriculture,manure management,2020-01-01,2021-01-01
0,Åland Islands,ALA,agriculture,rice cultivation,2020-01-01,2021-01-01
0,Åland Islands,ALA,buildings,cooking,2020-01-01,2021-01-01
0,Åland Islands,ALA,buildings,refrigeration air conditioning,2020-01-01,2021-01-01
0,Åland Islands,ALA,buildings,residential commercial onsite heating,2020-01-01,2021-01-01
0,Åland Islands,ALA,extraction,bauxite mining,2020-01-01,2021-01-01
,Åland Islands,ALA,extraction,coal mining,2020-01-01,2021-01-01
0,Åland Islands,ALA,extraction,copper mining,2020-01-01,2021-01-01
0,Åland Islands,ALA,extraction,iron mining,2020-01-01,2021-01-01
0,Åland Islands,ALA,extraction,rock quarry,2020-01-01,2021-01-01
0,Åland Islands,ALA,extraction,sand quarry,2020-01-01,2021-01-01
,Åland Islands,ALA,manufacturing,aluminum,2020-01-01,2021-01-01
,Åland Islands,ALA,manufacturing,cement production,2020-01-01,2021-01-01
,Åland Islands,ALA,manufacturing,fluorchemical production,2020-01-01,2021-01-01
,Åland Islands,ALA,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,Åland Islands,ALA,manufacturing,glass production,2020-01-01,2021-01-01
,Åland Islands,ALA,manufacturing,lime production,2020-01-01,2021-01-01
,Åland Islands,ALA,manufacturing,nitric acid production,2020-01-01,2021-01-01
0,Åland Islands,ALA,manufacturing,other manufacturing,2020-01-01,2021-01-01
0,Åland Islands,ALA,manufacturing,petrochemicals,2020-01-01,2021-01-01
0,Åland Islands,ALA,manufacturing,pulp paper,2020-01-01,2021-01-01
,Åland Islands,ALA,manufacturing,steel,2020-01-01,2021-01-01
0,Åland Islands,ALA,maritime,shipping,2020-01-01,2021-01-01
0,Åland Islands,ALA,oil and gas,oil and gas production,2020-01-01,2021-01-01
0,Åland Islands,ALA,oil and gas,oil refining,2020-01-01,2021-01-01
0,Åland Islands,ALA,oil and gas,solid fuel transformation,2020-01-01,2021-01-01
,Åland Islands,ALA,power,electricity generation,2020-01-01,2021-01-01
0,Åland Islands,ALA,power,other energy use,2020-01-01,2021-01-01
,Åland Islands,ALA,transport,aviation,2020-01-01,2021-01-01
0,Åland Islands,ALA,transport,other transportation,2020-01-01,2021-01-01
0,Åland Islands,ALA,transport,railways,2020-01-01,2021-01-01
,Åland Islands,ALA,transport,roads,2020-01-01,2021-01-01
0,Åland Islands,ALA,waste,biological treatment of solid waste and biogenic,2020-01-01,2021-01-01
0,Åland Islands,ALA,waste,open burning waste,2020-01-01,2021-01-01
0,Åland Islands,ALA,waste,solid waste disposal,2020-01-01,2021-01-01
0,Åland Islands,ALA,waste,wastewater treatment and discharge,2020-01-01,2021-01-01
50497,Albania,ALB,agriculture,cropland fires,2020-01-01,2021-01-01
1748813,Albania,ALB,agriculture,enteric fermentation,2020-01-01,2021-01-01
664884,Albania,ALB,agriculture,managed soils,2020-01-01,2021-01-01
434873,Albania,ALB,agriculture,manure management,2020-01-01,2021-01-01
0,Albania,ALB,agriculture,rice cultivation,2020-01-01,2021-01-01
0,Albania,ALB,buildings,cooking,2020-01-01,2021-01-01
0,Albania,ALB,buildings,refrigeration air conditioning,2020-01-01,2021-01-01
723815,Albania,ALB,buildings,residential commercial onsite heating,2020-01-01,2021-01-01
0,Albania,ALB,extraction,bauxite mining,2020-01-01,2021-01-01
,Albania,ALB,extraction,coal mining,2020-01-01,2021-01-01
3486,Albania,ALB,extraction,copper mining,2020-01-01,2021-01-01
0,Albania,ALB,extraction,iron mining,2020-01-01,2021-01-01
5816,Albania,ALB,extraction,rock quarry,2020-01-01,2021-01-01
2132,Albania,ALB,extraction,sand quarry,2020-01-01,2021-01-01
,Albania,ALB,manufacturing,aluminum,2020-01-01,2021-01-01
1022454,Albania,ALB,manufacturing,cement production,2020-01-01,2021-01-01
,Albania,ALB,manufacturing,fluorchemical production,2020-01-01,2021-01-01
,Albania,ALB,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,Albania,ALB,manufacturing,glass production,2020-01-01,2021-01-01
,Albania,ALB,manufacturing,lime production,2020-01-01,2021-01-01
,Albania,ALB,manufacturing,nitric acid production,2020-01-01,2021-01-01
1442564,Albania,ALB,manufacturing,other manufacturing,2020-01-01,2021-01-01
0,Albania,ALB,manufacturing,petrochemicals,2020-01-01,2021-01-01
0,Albania,ALB,manufacturing,pulp paper,2020-01-01,2021-01-01
,Albania,ALB,manufacturing,steel,2020-01-01,2021-01-01
30560,Albania,ALB,maritime,shipping,2020-01-01,2021-01-01
,Albania,ALB,oil and gas,oil and gas production,2020-01-01,2021-01-01
0,Albania,ALB,oil and gas,oil refining,2020-01-01,2021-01-01
65166,Albania,ALB,oil and gas,solid fuel transformation,2020-01-01,2021-01-01
0,Albania,ALB,power,electricity generation,2020-01-01,2021-01-01
0,Albania,ALB,power,other energy use,2020-01-01,2021-01-01
109481,Albania,ALB,transport,aviation,2020-01-01,2021-01-01
0,Albania,ALB,transport,other transportation,2020-01-01,2021-01-01
5809,Albania,ALB,transport,railways,2020-01-01,2021-01-01
1924248,Albania,ALB,transport,roads,2020-01-01,2021-01-01
0,Albania,ALB,waste,biological treatment of solid waste and biogenic,2020-01-01,2021-01-01
2690,Albania,ALB,waste,open burning waste,2020-01-01,2021-01-01
316400,Albania,ALB,waste,solid waste disposal,2020-01-01,2021-01-01
150920,Albania,ALB,waste,wastewater treatment and discharge,2020-01-01,2021-01-01
,Andorra,AND,agriculture,cropland fires,2020-01-01,2021-01-01
,Andorra,AND,agriculture,enteric fermentation,2020-01-01,2021-01-01
,Andorra,AND,agriculture,managed soils,2020-01-01,2021-01-01
,Andorra,AND,agriculture,manure management,2020-01-01,2021-01-01
0,Andorra,AND,agriculture,rice cultivation,2020-01-01,2021-01-01
0,Andorra,AND,buildings,cooking,2020-01-01,2021-01-01
0,Andorra,AND,buildings,refrigeration air conditioning,2020-01-01,2021-01-01
0,Andorra,AND,buildings,residential commercial onsite heating,2020-01-01,2021-01-01
0,Andorra,AND,extraction,bauxite mining,2020-01-01,2021-01-01
,Andorra,AND,extraction,coal mining,2020-01-01,2021-01-01
0,Andorra,AND,extraction,copper mining,2020-01-01,2021-01-01
0,Andorra,AND,extraction,iron mining,2020-01-01,2021-01-01
0,Andorra,AND,extraction,rock quarry,2020-01-01,2021-01-01
0,Andorra,AND,extraction,sand quarry,2020-01-01,2021-01-01
,Andorra,AND,manufacturing,aluminum,2020-01-01,2021-01-01
,Andorra,AND,manufacturing,cement production,2020-01-01,2021-01-01
,Andorra,AND,manufacturing,fluorchemical production,2020-01-01,2021-01-01
,Andorra,AND,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,Andorra,AND,manufacturing,glass production,2020-01-01,2021-01-01
,Andorra,AND,manufacturing,lime production,2020-01-01,2021-01-01
,Andorra,AND,manufacturing,nitric acid production,2020-01-01,2021-01-01
0,Andorra,AND,manufacturing,other manufacturing,2020-01-01,2021-01-01
0,Andorra,AND,manufacturing,petrochemicals,2020-01-01,2021-01-01
0,Andorra,AND,manufacturing,pulp paper,2020-01-01,2021-01-01
,Andorra,AND,manufacturing,steel,2020-01-01,2021-01-01
0,Andorra,AND,maritime,shipping,2020-01-01,2021-01-01
0,Andorra,AND,oil and gas,oil and gas production,2020-01-01,2021-01-01
0,Andorra,AND,oil and gas,oil refining,2020-01-01,2021-01-01
0,Andorra,AND,oil and gas,solid fuel transformation,2020-01-01,2021-01-01
21000,Andorra,AND,power,electricity generation,2020-01-01,2021-01-01
0,Andorra,AND,power,other energy use,2020-01-01,2021-01-01
,Andorra,AND,transport,aviation,2020-01-01,2021-01-01
0,Andorra,AND,transport,other transportation,2020-01-01,2021-01-01
0,Andorra,AND,transport,railways,2020-01-01,2021-01-01
,Andorra,AND,transport,roads,2020-01-01,2021-01-01
0,Andorra,AND,waste,biological treatment of solid waste and biogenic,2020-01-01,2021-01-01
0,Andorra,AND,waste,open burning waste,2020-01-01,2021-01-01
0,Andorra,AND,waste,solid waste disposal,2020-01-01,2021-01-01
0,Andorra,AND,waste,wastewater treatment and discharge,2020-01-01,2021-01-01
834,United Arab Emirates,ARE,agriculture,cropland fires,2020-01-01,2021-01-01
1354570,United Arab Emirates,ARE,agriculture,enteric fermentation,2020-01-01,2021-01-01
510973,United Arab Emirates,ARE,agriculture,managed soils,2020-01-01,2021-01-01
86278,United Arab Emirates,ARE,agriculture,manure management,2020-01-01,2021-01-01
0,United Arab Emirates,ARE,agriculture,rice cultivation,2020-01-01,2021-01-01
0,United Arab Emirates,ARE,buildings,cooking,2020-01-01,2021-01-01
0,United Arab Emirates,ARE,buildings,refrigeration air conditioning,2020-01-01,2021-01-01
932653,United Arab Emirates,ARE,buildings,residential commercial onsite heating,2020-01-01,2021-01-01
0,United Arab Emirates,ARE,extraction,bauxite mining,2020-01-01,2021-01-01
,United Arab Emirates,ARE,extraction,coal mining,2020-01-01,2021-01-01
0,United Arab Emirates,ARE,extraction,copper mining,2020-01-01,2021-01-01
